interactor_A	interactor_B
Q23320	O01869
P90825	Q18932
H2KYP1	Q18932
Q23666	O01869
EBI-312405	Q9TYS3
Q9U9Y8	Q9TYS3
Q9TYS3	Q9TYS3
O16453	Q9TYS3
G5ED84	Q18938
Q18938	Q18938
O01796	Q18953
Q18953	Q18953
O01961	Q18953
G5EDG6	Q18948
P34652	Q18953
Q9GYJ9	Q18964
O62444	O62126
Q965X6	P34378
EBI-318593	Q18964
Q18503	Q18964
P34296	Q18964
H2KZJ7	Q18964
Q95ZS5	Q18964
O61521	Q18964
P55326	Q18964
Q18964	Q23187
Q9N4G8	Q18964
Q9N431	Q18964
Q23615	Q18964
Q9N2Z7	Q18966
Q23087	Q18964
Q10663	P90786
Q93576	P90786
O61775	P90786
O62213	P90786
O18672	Q18989
P55956	Q18989
P30632	Q18989
Q9XWV6	Q18989
Q21746	Q18989
P91988	Q966L2
EBI-318708	O45323
Q20117	Q966L2
G5EC12	P90980
G5EFF8	P90980
Q9N4K2	P90980
Q21562	P90980
Q9NAN2	P90980
Q9NAB0	P90980
Q9N3V9	P90980
