interactor_A	interactor_B
Q8RXR6	Q8L8S0
Q94A73	Q8L8S0
Q9FIG0	Q8L8S0
Q9LTW2	Q8L8S0
Q8L8S0	Q9ZV45
Q94K07	Q8L8W6
Q9SZI2	Q8L8W6
Q38845	Q8L8X4
Q8L923	Q9FVU9
Q8L940	Q8L940
Q9FFZ0	Q8L9A0
Q84JZ7	Q8L9G7
Q8L9G7	Q94F58
Q8VZW1	Q8L9J7
F4JN35	Q8L9J7
Q8L9M7	Q0WV96
Q8L9M7	Q84JZ7
Q8VZ95	Q8L9M7
Q8L9M7	Q8VZW1
Q8L9M7	Q93XY2
Q94F58	Q8L9M7
Q9FZK5	Q8L9M7
Q8L9M8	Q9C6B3
Q8LAZ7	Q8L9X1
Q8L9Y3	O22179
O49617	Q8L9Y3
Q8L9Y3	O64645
Q8L9Y3	O81439
O82240	Q8L9Y3
Q8L9Y3	P46639
Q8L9Y3	Q05466
Q058P7	Q8L9Y3
Q8L9Y3	Q42583
Q8L9Y3	Q6IDC4
Q8L9Y3	Q84MB2
Q8L9Y3	Q8L7G9
Q8L866	Q8L9Y3
Q8L9Y3	Q8LAT0
Q8L9Y3	Q8LPR2
Q8RWF8	Q8L9Y3
Q8L9Y3	Q93V56
Q8L9Y3	Q94AU9
Q8L9Y3	Q96331
Q8L9Y3	Q9C4Z8
Q9C8P0	Q8L9Y3
Q9FGF3	Q8L9Y3
Q8L9Y3	Q9FHQ3
Q9FHR8	Q8L9Y3
Q9FKD7	Q8L9Y3
Q9FXD6	Q8L9Y3
Q8L9Y3	Q9LJG8
Q8L9Y3	Q9LMN5
Q9LMR3	Q8L9Y3
Q9M0F9	Q8L9Y3
Q8L9Y3	Q9M155
Q8L9Y3	Q9M3B6
Q9SAZ5	Q8L9Y3
Q9SJK5	Q8L9Y3
Q8L9Y4	Q9SYG2
Q9C9L2	Q8LA13
P59227	Q8LA21
Q8LA21	P59229
Q84WV8	Q8LA21
F4JN35	Q8LA21
Q8LA21	Q94F58
Q8LA96	Q9C6B3
Q8LAA6	P30302
