interactor_A	interactor_B
P49687	Q04491
Q04491	P49687
Q04491	Q04491
P46673	P53011
P53011	P46673
P49687	Q04491
P24869	Q03898
P24869	P38826
P38283	P24869
P24869	P35734
Q00684	P38283
Q03898	Q00684
P35734	Q00684
Q00684	P38826
Q03898	P24869
P38283	P24869
P24869	P38826
P24869	P35734
Q00684	P38283
P35734	Q00684
Q00684	P38826
Q00684	Q03898
Q12214	Q12214
P11792	P11792
P32915	P35179
P38353	P35179
P38353	P35179
P32915	P35179
P36072	P11484
P36003	P11484
P36111	P11484
P36114	P11484
P36119	P11484
P36136	P11484
P11484	P36138
P11484	P36151
P11484	P36154
P11484	P36157
P11484	P36168
Q04437	P11484
Q06493	P11484
Q07799	P11484
Q12431	P11484
Q12164	P11484
P11484	Q07825
Q07834	P11484
P11484	Q12235
P11484	Q99208
P11484	Q12088
P11484	Q07990
P11484	Q12155
Q12144	P11484
P11484	Q08001
P11484	Q3E798
Q12208	P11484
P11484	Q12367
Q99296	P11484
P35200	P11484
Q05777	P11484
P11484	Q05778
P11484	Q05809
P11484	Q05948
Q06146	P11484
P11484	Q05863
Q05892	P11484
P11484	Q06137
Q06139	P11484
P11484	O13565
Q3E747	P11484
Q06070	P11484
Q06071	P11484
Q06688	P11484
Q06188	P11484
P11484	P32795
P0CF16	P11484
P11484	Q3E7A6
P11484	Q03730
Q03713	P11484
P11484	Q04545
P11484	Q04501
Q03759	P11484
Q03099	P11484
Q03673	P11484
Q03687	P11484
P11484	Q04773
Q04304	P11484
Q03177	P11484
P39523	P11484
Q03231	P11484
Q03648	P11484
Q04814	P11484
Q04847	P11484
P11484	P38430
P11484	Q03533
P11484	P19955
Q04867	P11484
Q04893	P11484
P40009	P11484
P11484	Q08465
P38806	P11484
P11484	P53981
P11484	P53980
P53970	P11484
P53964	P11484
P53963	P11484
P11484	P53962
Q10740	P11484
P53956	P11484
P53947	P11484
P11484	P48232
P53934	P11484
P11484	P53928
P11484	P53921
P53910	P11484
P53908	P11484
P11484	P53907
P11484	P53906
P53899	P11484
P11484	Q3E7A8
P53882	P11484
P11484	P53870
P11484	P40152
P53862	P11484
P53852	P11484
P11484	P53846
P11484	P48564
P11484	P53828
P48560	P11484
P42840	P11484
P11484	P42839
P11484	P40342
P11484	P53719
P53732	P11484
P53739	P11484
P11484	P53740
P11484	P53747
P53749	P11484
P11484	P39941
P11484	Q08157
P25040	P11484
Q08187	P11484
Q08206	P11484
Q08218	P11484
P11484	Q12239
P11484	Q08281
P11484	P0C155
P11484	Q12402
Q3E7B9	P11484
Q12314	P11484
P11484	Q12204
P11484	Q08411
P11484	Q08421
P11484	Q08422
Q12405	P11484
Q12274	P11484
Q99210	P11484
Q99222	P11484
P11484	Q12486
Q08548	P11484
P11484	Q12282
P11484	Q12249
Q08726	P11484
P11484	O14468
Q12182	P11484
P11484	Q08816
P11484	Q08822
Q08844	P11484
P11484	P38298
P11484	P12688
P11484	P18961
P11484	Q02648
Q03079	P11484
P11484	Q12194
Q02864	P11484
P11484	Q02875
Q02872	P11484
O13518	P11484
Q03002	P11484
Q12245	P11484
P11484	Q12152
P11484	Q99299
P11484	Q12467
O14464	P11484
Q08971	P11484
P11484	Q12003
Q12179	P11484
Q12523	P11484
Q08977	P11484
Q08989	P11484
P53394	P11484
P11484	Q12480
Q12160	P11484
P0C5R6	P11484
P11484	O13586
P11484	Q06107
P11484	Q06109
P11484	Q06522
P11484	Q06608
P11484	Q06595
Q08995	P11484
Q12303	P11484
P11484	P38146
P36018	P11484
Q99260	P11484
P11484	P32939
P11484	P40517
P53107	P11484
P11484	P24088
P53345	P11484
O13559	P11484
P38079	P11484
Q12172	P11484
P11484	Q06224
P25036	P11484
P23501	P11484
P38280	P11484
P38374	P11484
Q06102	P11484
Q12024	P11484
P35127	P11484
Q12324	P11484
P54786	P11484
P11484	Q08245
P11484	P53061
P53303	P11484
P11484	P20107
P38355	P11484
P11484	P11412
P53940	P11484
P11484	P39076
P11484	P39077
P39078	P11484
P40413	P11484
P11484	P39079
P11484	P52868
P40564	P11484
P43613	P11484
P11484	Q04493
P22943	P11484
P15992	P11484
Q04432	P11484
Q12350	P11484
P53863	P11484
P11484	P46997
P11484	P38323
P35191	P11484
P11484	P48363
P11484	P14906
Q05931	P11484
P12612	P11484
P39102	P11484
P52553	P11484
P39987	P53730
P52892	P39987
