hu17866	mo15883
mo3524	rt1354	hu2953
hu16090	mo16174
rt8879	hu6598	mo7896
hu13640	rt8658	mo5782
rt11010	hu16784	mo9188
rt8305	hu13333	mo8542
hu686	rt576	mo2862
rt10274	mo16828
rt8293	hu4853	mo6507
mo2537	rt8029	hu1927
hu11433	mo13091
rt12505	hu14848	mo5229
hu7839	rt6762	mo9812
hu13477	rt12119
rt15337	mo16211
rt8761	hu7065	mo7698
mo2988	rt8183	hu11869
hu7792	rt12846	mo13495
hu4887	rt2962	mo3283
mo14529	rt7051	hu14171
mo5949	hu7912	rt7197
hu2407	mo2495
rt13682	mo8033
hu5712	rt4378	mo9452
rt14086	mo16567
rt7467	hu11291	mo10629
mo11351	rt8349	hu7207
rt6055	hu3213	mo17057
hu16844	rt5365	mo2283
rt4195	hu12328	mo14236
hu3546	mo7961
rt15003	hu3606	mo16230
mo7541	rt4399	hu5558
rt11657	hu16111	mo13815
rt12640	hu11684	mo2855
hu16053	rt12125
hu10237	rt9442	mo5947
hu1544	mo2361
rt5755	hu7180	mo13157
rt14206	hu15526
hu3629	rt7869	mo4626
rt2352	hu1058	mo2553
hu3244	mo1234
hu17554	mo16118
hu7501	mo10231
rt15638	mo5791	hu32
hu5780	rt12302	mo1321
rt984	hu1612	mo1514
hu5092	rt959	mo17245
rt3255	hu11136	mo6108
rt12277	hu17883	mo7856
hu3477	rt13138	mo260
mo8024	rt5280	hu1913
mo9399	hu15117
mo9841	rt9745	hu4060
mo6831	rt2615	hu4010
mo8089	rt4434	hu622
rt12990	mo11529
hu7543	rt2775	mo1964
mo10065	hu10160	rt5664
mo15851	rt13112	hu13534
hu4543	mo15156
hu6791	mo2460
rt9738	hu4039	mo2715
rt10802	hu1654	mo13136
mo3548	rt2665	hu7414
hu1584	rt1230	mo2072
hu6342	rt9066	mo10865
mo6529	rt1608	hu1631
hu4924	rt1582	mo3574
hu4055	rt554	mo1523
rt9661	hu14134	mo8840
hu4369	mo206
hu4392	rt5590	mo9199
mo13603	rt1001	hu3998
mo3188	rt7662	hu5877
hu16333	rt10285	mo11532
rt11782	hu15518	mo10966
mo12749	rt10964	hu8749
hu5593	rt1629	mo987
hu3425	rt9149	mo3923
rt11348	hu11887	mo10946
mo13398	rt11860	hu8935
rt1787	mo4341	hu5817
rt2904	hu7144	mo4699
hu1711	rt38	mo4795
mo5059	rt7229	hu11803
hu1104	mo14224
hu15205	rt11906	mo16432
rt15108	mo16035
hu4238	mo1654
mo715	hu6357	rt3470
hu9339	mo9951
rt14249	mo11680
hu14456	mo16068
rt710	hu1747	mo1228
rt5707	hu10831	mo9939
hu10837	mo14393
mo626	rt1338	hu2076
